OriginalVariableNames,Var1,Var2,Var3,Var4
Var1,0.01,0.01,0.01,0.01
Var2,0.01,0.01,0.0833333333333333,0.01
Var3,0.01,0.01,0.99,0.01
Var4,0.0666666666666667,0.01,0.142857142857143,0.01
Var5,0.0714285714285714,0.01,0.01,0.01
Var6,0.01,0.01,0.0714285714285714,0.0769230769230769
Var7,0.01,0.01,0.166666666666667,0.01
Var8,0.01,0.01,0.01,0.01
Var9,0.01,0.01,0.01,0.01
Var10,0.01,0.01,0.857142857142857,0.0952380952380952
Var11,0.01,0.01,0.25,0.01
Var12,0.01,0.01,0.176470588235294,0.0833333333333333
Var13,0.105263157894737,0.01,0.25,0.01
Var14,0.01,0.01,0.125,0.01
Var15,0.01,0.01,0.857142857142857,0.01
Var16,0.01,0.01,0.01,0.01
Var17,0.01,0.01,0.214285714285714,0.01
Var18,0.01,0.01,0.99,0.01
Var19,0.01,0.01,0.01,0.01
Var20,0.01,0.01,0.923076923076923,0.0833333333333333
Var21,0.01,0.01,0.866666666666667,0.01
Var22,0.01,0.01,0.0588235294117647,0.01
Var23,0.01,0.0666666666666667,0.117647058823529,0.01
Var24,0.01,0.01,0.99,0.01
Var25,0.01,0.01,0.153846153846154,0.01
Var26,0.01,0.01,0.99,0.01
Var27,0.01,0.01,0.01,0.01
Var28,0.0588235294117647,0.01,0.01,0.01
Var29,0.0625,0.01,0.230769230769231,0.01
Var30,0.01,0.0526315789473684,0.117647058823529,0.01
