OriginalVariableNames,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
all_hit_rates_collapsed1,0.851851851851852,0.84,0.833333333333333,0.851851851851852,0.521739130434783,0.84,0.777777777777778,0.954545454545455
all_hit_rates_collapsed2,0.869565217391304,0.931034482758621,0.88,0.91304347826087,0.962962962962963,0.727272727272727,0.76,0.869565217391304
all_hit_rates_collapsed3,0.888888888888889,0.954545454545455,0.923076923076923,0.99,0.96,0.92,0.88,0.722222222222222
all_hit_rates_collapsed4,0.952380952380952,0.96,0.99,0.99,0.777777777777778,0.857142857142857,0.727272727272727,0.772727272727273
all_hit_rates_collapsed5,0.85,0.666666666666667,0.92,0.875,0.518518518518518,0.777777777777778,0.923076923076923,0.826086956521739
all_hit_rates_collapsed6,0.782608695652174,0.833333333333333,0.653846153846154,0.826086956521739,0.571428571428571,0.695652173913043,0.739130434782609,0.769230769230769
all_hit_rates_collapsed7,0.99,0.99,0.9,0.964285714285714,0.814814814814815,0.99,0.708333333333333,0.923076923076923
all_hit_rates_collapsed8,0.666666666666667,0.96,0.964285714285714,0.956521739130435,0.608695652173913,0.826086956521739,0.833333333333333,0.857142857142857
all_hit_rates_collapsed9,0.818181818181818,0.96,0.85,0.88,0.428571428571429,0.833333333333333,0.761904761904762,0.681818181818182
all_hit_rates_collapsed10,0.91304347826087,0.904761904761905,0.730769230769231,0.888888888888889,0.904761904761905,0.772727272727273,0.814814814814815,0.75
all_hit_rates_collapsed11,0.791666666666667,0.916666666666667,0.99,0.888888888888889,0.636363636363636,0.956521739130435,0.708333333333333,0.75
all_hit_rates_collapsed12,0.92,0.954545454545455,0.88,0.724137931034483,0.526315789473684,0.636363636363636,0.652173913043478,0.727272727272727
all_hit_rates_collapsed13,0.909090909090909,0.923076923076923,0.916666666666667,0.923076923076923,0.681818181818182,0.85,0.833333333333333,0.875
all_hit_rates_collapsed14,0.727272727272727,0.851851851851852,0.851851851851852,0.772727272727273,0.333333333333333,0.583333333333333,0.961538461538462,0.76
all_hit_rates_collapsed15,0.954545454545455,0.964285714285714,0.954545454545455,0.99,0.884615384615385,0.846153846153846,0.869565217391304,0.833333333333333
all_hit_rates_collapsed16,0.99,0.916666666666667,0.99,0.96,0.75,0.954545454545455,0.954545454545455,0.931034482758621
all_hit_rates_collapsed17,0.904761904761905,0.99,0.875,0.961538461538462,0.75,0.923076923076923,0.884615384615385,0.666666666666667
all_hit_rates_collapsed18,0.909090909090909,0.961538461538462,0.99,0.99,0.954545454545455,0.793103448275862,0.916666666666667,0.925925925925926
all_hit_rates_collapsed19,0.909090909090909,0.875,0.851851851851852,0.956521739130435,0.347826086956522,0.72,0.916666666666667,0.782608695652174
all_hit_rates_collapsed20,0.956521739130435,0.99,0.961538461538462,0.96,0.821428571428571,0.888888888888889,0.956521739130435,0.789473684210526
all_hit_rates_collapsed21,0.925925925925926,0.869565217391304,0.8,0.782608695652174,0.904761904761905,0.91304347826087,0.619047619047619,0.695652173913043
all_hit_rates_collapsed22,0.782608695652174,0.9,0.791666666666667,0.962962962962963,0.285714285714286,0.76,0.695652173913043,0.75
all_hit_rates_collapsed23,0.91304347826087,0.956521739130435,0.807692307692308,0.866666666666667,0.52,0.681818181818182,0.863636363636364,0.807692307692308
all_hit_rates_collapsed24,0.826086956521739,0.99,0.869565217391304,0.875,0.75,0.863636363636364,0.99,0.818181818181818
all_hit_rates_collapsed25,0.730769230769231,0.875,0.851851851851852,0.64,0.521739130434783,0.75,0.684210526315789,0.44
all_hit_rates_collapsed26,0.769230769230769,0.76,0.814814814814815,0.956521739130435,0.692307692307692,0.909090909090909,0.888888888888889,0.782608695652174
all_hit_rates_collapsed27,0.807692307692308,0.875,0.875,0.92,0.517241379310345,0.761904761904762,0.99,0.785714285714286
all_hit_rates_collapsed28,0.99,0.962962962962963,0.958333333333333,0.88,0.615384615384615,0.857142857142857,0.833333333333333,0.703703703703704
all_hit_rates_collapsed29,0.615384615384615,0.807692307692308,0.958333333333333,0.615384615384615,0.75,0.863636363636364,0.576923076923077,0.631578947368421
all_hit_rates_collapsed30,0.99,0.88,0.95,0.954545454545455,0.851851851851852,0.909090909090909,0.777777777777778,0.75
