OriginalVariableNames,Var1,Var2,Var3,Var4
Var1,0.01,0.01,0.01,0.01
Var2,0.01,0.01,0.0625,0.01
Var3,0.01,0.01,0.210526315789474,0.01
Var4,0.01,0.01,0.01,0.01
Var5,0.0454545454545455,0.01,0.01,0.01
Var6,0.01,0.01,0.01,0.0555555555555556
Var7,0.01,0.01,0.01,0.01
Var8,0.01,0.01,0.01,0.01
Var9,0.01,0.01,0.01,0.01
Var10,0.01,0.01,0.35,0.125
Var11,0.01,0.01,0.125,0.01
Var12,0.01,0.01,0.0526315789473684,0.0625
Var13,0.01,0.01,0.01,0.01
Var14,0.01,0.01,0.0526315789473684,0.01
Var15,0.01,0.01,0.357142857142857,0.01
Var16,0.01,0.01,0.01,0.01
Var17,0.01,0.01,0.05,0.01
Var18,0.01,0.01,0.2,0.01
Var19,0.01,0.01,0.01,0.01
Var20,0.01,0.01,0.0714285714285714,0.01
Var21,0.01,0.01,0.555555555555556,0.01
Var22,0.01,0.01,0.0555555555555556,0.01
Var23,0.01,0.0909090909090909,0.01,0.01
Var24,0.01,0.01,0.363636363636364,0.01
Var25,0.01,0.01,0.0714285714285714,0.01
Var26,0.01,0.01,0.473684210526316,0.01
Var27,0.01,0.01,0.01,0.01
Var28,0.0625,0.01,0.01,0.01
Var29,0.01,0.01,0.0666666666666667,0.01
Var30,0.01,0.0588235294117647,0.01,0.01
